Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34427982,American Wolf: A True Story of Survival and Obsession in the West,Nate Blakeslee,"Blakeslee, Nate",,"=""1101902787""","=""9781101902783""",2,4.39,Crown,Hardcover,300,2017,2017,2023/08/25,2024/01/20,"book-club, non-fiction, history","book-club (#7), non-fiction (#22), history (#4)",read,,,,2,0
28685601,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""0008172420""","=""9780008172428""",5,4.31,Fourth Estate,Paperback,544,2015,2014,2024/07/14,2024/04/17,"book-club, fiction","book-club (#11), fiction (#37)",read,,,,1,0
18624269,If on a Winter's Night a Traveler,Italo Calvino,"Calvino, Italo",William Weaver,"=""0544133404""","=""9780544133402""",4,4.03,Mariner Books Classics,Kindle Edition,278,2012,1979,2024/10/09,2024/09/09,"book-club, books-about-books, fiction","book-club (#10), books-about-books (#2), fiction (#36)",read,,,,1,0
17185,The Invisible Man,H.G. Wells,"Wells, H.G.",,"=""0812504674""","=""9780812504675""",0,3.63,Aerie,Mass Market Paperback,178,1992,1897,,2024/10/14,"fiction, sci-fi, currently-reading","fiction (#35), sci-fi (#9), currently-reading (#5)",currently-reading,,,,1,0
123996454,"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,"Clarke, Arthur C.",,"=""0451452739""","=""9780451452733""",4,4.17,Roc,Paperback,255,2023,1968,2024/09/23,2024/08/19,"fiction, sci-fi","fiction (#34), sci-fi (#8)",read,,,,1,0
199793517,"Sapiens: A Graphic History, Volume 3—The Masters of History",Yuval Noah Harari,"Harari, Yuval Noah","David Vandermeulen, Daniel Casanave","=""0063387417""","=""9780063387416""",0,4.27,Harper Perennial,Paperback,288,2024,2024,,2024/09/23,to-read,to-read (#97),to-read,,,,0,0
13629,The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,"Jr., Frederick P. Brooks",,"=""0201835959""","=""9780201835953""",0,4.01,Addison-Wesley Professional,Paperback,322,1995,1975,,2024/09/05,to-read,to-read (#96),to-read,,,,0,0
379701,The Civilizing Process,Norbert Elias,"Elias, Norbert",,"=""0631221611""","=""9780631221616""",0,4.26,Blackwell Publishing,Paperback,592,2000,1939,,2024/08/31,to-read,to-read (#95),to-read,,,,0,0
112251,The C++ Programming Language,Bjarne Stroustrup,"Stroustrup, Bjarne",,"=""0201700735""","=""9780201700732""",0,4.10,Addison-Wesley Professional,Hardcover,1030,2000,1986,,2024/08/11,currently-reading,currently-reading (#4),currently-reading,,,,1,0
58926141,"Seneca Stoicism Collection: Moral Letters to Lucilius, On Benefits, On Anger, On Clemency, On a Happy Life, On the Shortness of Life, On Providence, ... On Leisure, On Peace of Mind, Consolations",Seneca,"Seneca, Seneca","Richard Gummere, Aubrey Stewart","=""""","=""9798737536176""",0,4.50,Independently published,Paperback,648,2021,,,2024/08/11,currently-reading,currently-reading (#3),currently-reading,,,,1,0
77999,The Horla,Guy de Maupassant,"Maupassant, Guy de",Charlotte Mandell,"=""0976140748""","=""9780976140740""",0,3.89,Melville House,Paperback,79,2005,1886,,2022/01/23,to-read,to-read (#30),to-read,,,,0,0
62069739,When We Cease to Understand the World,Benjamín Labatut,"Labatut, Benjamín",Adrian Nathan West,"=""""","=""""",5,4.13,New York Review Books,Kindle Edition,193,2022,2020,2024/08/04,2024/07/14,"fiction, math-and-physics, non-fiction","fiction (#33), math-and-physics (#5), non-fiction (#25)",read,,,,1,0
10357575,"1Q84 (1Q84, #1-3)",Haruki Murakami,"Murakami, Haruki","Jay Rubin, Philip Gabriel","=""0307593312""","=""9780307593313""",0,3.95,Knopf,Hardcover,944,2011,2009,,2024/07/16,to-read,to-read (#94),to-read,,,,0,0
12158160,Seven Gothic Tales,Isak Dinesen,"Dinesen, Isak",Karen Blixen,"=""0141930543""","=""9780141930541""",0,3.88,Penguin,Kindle Edition,368,2002,1934,,2024/07/13,to-read,to-read (#93),to-read,,,,0,0
18431670,Hardship and Happiness (The Complete Works of Lucius Annaeus Seneca),Seneca,"Seneca, Seneca","Elaine Fantham, Harry M. Hine, James Ker, Gareth D. Williams","=""0226748324""","=""9780226748320""",0,4.45,University of Chicago Press,Hardcover,352,2014,64,,2024/07/02,to-read,to-read (#92),to-read,,,,0,0
31837,The Consolation of Philosophy,Boethius,"Boethius, Boethius",Victor  Watts,"=""0140447806""","=""9780140447804""",0,4.03,Penguin Classics,Paperback,155,1999,524,,2024/07/02,to-read,to-read (#91),to-read,,,,0,0
20409357,"Hercule Poirot's Christmas (Hercule Poirot, #20)",Agatha Christie,"Christie, Agatha",Hugh Fraser,"=""""","=""""",5,3.99,HarperAudio,Audiobook,7,2012,1938,2023/12/17,2023/12/03,"fiction, mystery, book-club","fiction (#27), mystery (#1), book-club (#5)",read,,,,1,0
18210750,Quantum Mechanics: The Theoretical Minimum (Theoretical Minimum #2),Leonard Susskind,"Susskind, Leonard",Art Friedman,"=""0465036678""","=""9780465036677""",0,4.33,Basic Books,Hardcover,364,2014,2014,,2022/06/14,"currently-reading, math-and-physics, non-fiction","currently-reading (#2), math-and-physics (#4), non-fiction (#24)",currently-reading,,,,1,0
55034253,Housekeeping (40th Anniversary Edition),Marilynne Robinson,"Robinson, Marilynne",Thérèse Plummer,"=""""","=""""",5,3.81,Macmillan Audio,Audiobook,6,2020,1980,2024/04/16,2024/03/26,fiction,fiction (#32),read,,,,1,0
42527866,They Called Us Enemy,George Takei,"Takei, George","Justin Eisinger, Steven Scott, Harmony Becker","=""1603094504""","=""9781603094504""",2,4.42,Top Shelf Productions,Paperback,204,2019,2019,2024/03/25,2024/03/17,"book-club, graphic-novels, history, non-fiction, autobiographies","book-club (#9), graphic-novels (#7), history (#5), non-fiction (#23), autobiographies (#3)",read,Thought it was a bit boring tbh.,,,1,0
7745,Fear and Loathing in Las Vegas,Hunter S. Thompson,"Thompson, Hunter S.",Ralph Steadman,"=""0679785892""","=""9780679785897""",4,4.07,Vintage Books,Paperback,204,1998,1971,2024/03/14,2024/02/29,,,read,,,,1,0
208474799,"Guards! Guards! (Discworld, #8)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",4,4.34,Harper Paperbacks,Kindle Edition,353,2009,1989,2024/02/28,2024/02/06,"book-club, fiction, fantasy","book-club (#8), fiction (#31), fantasy (#1)",read,,,,2,0
40163119,Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,"Keefe, Patrick Radden",,"=""0385521316""","=""9780385521314""",0,4.46,Doubleday,Hardcover,441,2019,2018,,2024/02/10,to-read,to-read (#90),to-read,,,,0,0
853510,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",,"=""0007119313""","=""9780007119318""",4,4.20,HarperCollins,Paperback,274,2007,1934,2024/02/03,2024/01/20,"fiction, mystery","fiction (#30), mystery (#2)",read,,,,1,0
